review_item_id,media_key,scientific_name,evidence_type,current_policy_status,current_recommended_uses,human_issue_category,target_taxon_visibility,contains_visible_answer_text,contains_ui_screenshot,habitat_specificity,annotation_notes
pmp-policy-review-0138,inaturalist::14306882,Podiceps cristatus,,profile_failed,,schema_false_negative,unknown,unknown,unknown,unknown,Schema false negative: bird_visible_parts=body (now normalized to whole_body). Should be profile_valid post-patch.
pmp-policy-review-0283,inaturalist::264553506,Podiceps cristatus,,profile_failed,,schema_false_negative,unknown,unknown,unknown,unknown,Schema false negative: posture=sitting (now normalized to resting). Should be profile_valid post-patch.
pmp-policy-review-0284,inaturalist::264553526,Larus argentatus,,profile_failed,,schema_false_negative,unknown,unknown,unknown,unknown,Schema false negative: plumage_state.visible_basis=null (now downgraded to unknown). Should be profile_valid post-patch.
pmp-policy-review-0213,inaturalist::197128124,Coccothraustes coccothraustes,,profile_failed,,schema_false_negative,unknown,unknown,unknown,unknown,Schema false negative: seasonal_state.visible_basis=null (now downgraded to unknown). Should be profile_valid post-patch.
pmp-policy-review-0335,inaturalist::30487921,Phoenicurus ochruros,,pre_ai_rejected,,pre_ai_borderline,unknown,unknown,unknown,unknown,Pre-AI rejected (500x1301px). Threshold kept strict by design. No signal injection applicable.
pmp-policy-review-0157,inaturalist::155810806,Falco peregrinus,multiple_organisms,profile_valid,field_observation,same_species_multiple_individuals_ok,multiple_individuals_same_taxon,false,false,unknown,Two Peregrine Falcon individuals; same taxon. target_taxon_visibility=multiple_individuals_same_taxon.
pmp-policy-review-0148,inaturalist::150308702,Cygnus olor,multiple_organisms,profile_valid,field_observation|morphology_learning,multiple_species_target_unclear,multiple_species_target_unclear,false,false,unknown,Multiple species in frame; target unclear. Should downgrade basic_identification/confusion_learning to borderline; species_card to not_recommended.
pmp-policy-review-0044,inaturalist::112697174,Anser anser,multiple_organisms,profile_valid,field_observation,multiple_species_target_unclear,multiple_species_target_unclear,false,false,unknown,Multiple species present; not sure which individual is the target.
pmp-policy-review-0123,inaturalist::134613679,Anas platyrhynchos,multiple_organisms,profile_valid,field_observation|morphology_learning,same_species_multiple_individuals_ok,multiple_individuals_same_taxon,false,false,unknown,Multiple Mallard individuals; same species. Policy note: multiple_individuals_same_taxon.
pmp-policy-review-0176,inaturalist::168655956,Cygnus olor,multiple_organisms,profile_valid,field_observation,multiple_species_target_unclear,multiple_species_target_unclear,false,false,unknown,Multiple avian species; focus is unclear. Reviewer noted species can be defined.
pmp-policy-review-0188,inaturalist::178993834,Phalacrocorax carbo,whole_organism,profile_valid,field_observation,field_observation_too_permissive,unknown,false,false,unknown,Distant silhouette-only cormorant; reviewer considers too strict. No optional signal injection.
pmp-policy-review-0097,inaturalist::12710696,Cyanistes caeruleus,multiple_organisms,profile_valid,field_observation|morphology_learning,multiple_species_target_unclear,multiple_species_target_unclear,false,false,unknown,Multiple species of different taxa; target unclear. Reviewer noted need for clarification.
pmp-policy-review-0398,inaturalist::402891504,Strix aluco,whole_organism,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,text_overlay_or_answer_visible,unknown,false,true,unknown,UI screenshot of sound-identification app with species name visible. contains_ui_screenshot=true.
pmp-policy-review-0376,inaturalist::368841977,Riparia riparia,multiple_organisms,profile_valid,field_observation|morphology_learning,same_species_multiple_individuals_ok,multiple_individuals_same_taxon,false,false,unknown,Multiple Bank Swallow individuals; same taxon.
pmp-policy-review-0242,inaturalist::237495251,Sturnus vulgaris,multiple_organisms,profile_valid,field_observation,same_species_multiple_individuals_ok,multiple_individuals_same_taxon,false,false,unknown,Multiple European Starlings; same species. Backlit silhouettes.
pmp-policy-review-0195,inaturalist::18272669,Larus michahellis,multiple_organisms,profile_valid,field_observation|morphology_learning,same_species_multiple_individuals_ok,multiple_individuals_same_taxon,false,false,unknown,Multiple Yellow-legged Gulls in intense interaction; same taxon.
pmp-policy-review-0253,inaturalist::254172262,Falco peregrinus,unknown,profile_valid,,rare_model_subject_miss,unknown,false,false,unknown,Model subject miss: image shows a metal lion sculpture/logo; no bird visible. Rare edge case; documented only.
pmp-policy-review-0340,inaturalist::31534282,Coloeus monedula,whole_organism,profile_valid,field_observation|species_card,species_card_too_permissive,unknown,false,false,unknown,Reviewer flagged species_card as too permissive for distant/small-in-frame jackdaw.
pmp-policy-review-0072,inaturalist::12159188,Sturnus vulgaris,habitat,profile_valid,indirect_evidence_learning,habitat_too_permissive,unknown,false,false,generic,Generic bird feeder habitat; no species-relevant signal. indirect_evidence_learning should be downgraded. habitat_specificity=generic.
